to adabdon to	từ bỏ;bỏ;ruồng bỏ;bỏ lại
die full of year	chết già 
die game	chết anh dũng;anh dũng hy sinh;anh dũng ngã xuống 
die hard	chết một cách khó khăn 
die-hard	kẻ báo thủ;kẻ ngoan cố;kẻ phản động 
die laughing	cười nắc nẻ;cười đau cả ruột
die like flies	chết như rơm như rạ;chết nhiều
intense heat	đợt nắng nóng dữ dội 
die of	chết vì 
die off	chết đột ngột;chết dần chết mòn;tắt phụt đi;vụt tắt;phụt tắt 
have to watch	thấp thỏm
die out	chết sạch;tuyệt chủng;chết dần chết mòn;tắt ngấm;tàn lụi;mất hẳn;lỗi thời;lỗi mốt
die without issue	chết tuyệt tử tuyệt tông;mất người nỗi dõi tông đường 
die worth a million	chết để lại bạc triệu 
die worker	công nhân cắt;thợ cắt;thợ dập khuân 
dying for	thèm chết đi được;muốn đến chết đi được
dying to do	nóng lòng;nóng vội;khao khát
dying years	những năm nghèo đói;những năm mất mùa 
differ about	khác về;khác nhau
differ in	bất đồng 
differ in opinion about	bất đồng quan điểm;bất đồng ý kiến
differ from	khác với;không giống với;khác hẳn 
differ in	khác nhau;không giống nhau 
differ with	không đồng ý;không tán thành 
difference between	sự khác biệt giữa 
make a difference between	đối xử khác nhau;phân biệt đối xử 
differences of opinion	sự bất đồng quan điểm;sự bất đồng ý kiến 
sink one's differences	đồng ý quên đi nỗi bất đồng;bỏ qua bất đồng 
split the differences	cưa đôi khoản chênh lệch giữa hai số tiền mà người ta đưa ra 
with a difference	đặc biệt;khác thường 
difference from	khách với;khác biệt
difference to	khách với;khác biệt
difference that	khách với;khác biệt
different in a dispute	đứng trung lập trong một cuộc tranh chấp 
differentiate between these	phân biệt sự khác nhau giữa;phân biệt đối xử
differentiate from	phân biệt 
difficult for	khó cho 
difficult of approach	khó để nói;khó đến gần;khó tiếp cận;khó làm quen 
eassy of approach	dễ để nói;dễ đến gần;dễ tiếp cận;dễ làm quen 
difficult to	khó mà;khó lòng 
dig a pit for	đặt bẫy;đưa vào bẫy;đưa vào tròng 
dig down	đào xập tường 
dig for	moi móc;tìm tòi;đào bới 
dig from	đào lên;moi lên 
dig in	thúc sâu;ấn sâu;thọc sâu;chôn vùi;chôn;vùi;tìm tòi
dig into	thúc sâu;ấn sâu;thọc sâu;chôn vùi;chôn;vùi;tìm tòi
dig oneself in	ẩn mình
dig one's own grave	tự đào hố chôn thân;tự mình hại mình 
dig in	đào hầm 
dig oneself in	tự lo cho bản thân;tự chăm lo cho bản thân 
dig out	đào ra;moi ra;khai quật;tìm ra
dig over	chuẩn bị đất để 
dig up	đào lên;xới lên 
dig up the hatchet	gây xích lích lại;gây chiến tranh lại;gây đụng độ lại 
dilate on	bàn rộng ra;bàn chi tiết;bàn nhiều;đề cập nhiều 
dilate upon	bàn rộng ra;bàn chi tiết;bàn nhiều;đề cập nhiều 
diligent in	siêng năng;cần cù;chăm chỉ
diligence in	cần cù;chăm chỉ;siêng năng 
diligence is the mother of success	có công mài sắt có ngày nên kim;cần cù bù khả năng
din in	lải nhải;nhắc nhở đi nhắc nhở lại;nhắc đi nhắc lại 
din into	lải nhải;nhắc nhở đi nhắc nhở lại;nhắc đi nhắc lại 
din in one's ears	làm inh tai nhức óc;làm nhức óc 
dine in	ăn ở nhà 
dine on	ăn
dine out	ăn ngoài;ăn quán 
dine out on	ăn cơm khách;ăn bữa cơm được mời 
dine	thiết đãi;đãi tiệc 
wine and dine	thiết đãi;được mời đi ăn;mời ăn 
very well	hậu hĩnh
dip in	nhúng vào;chấm vào;chìm đắm trong
dip in a debt	mắc nợ;phải nợ
dip into	xem lướt;đọc lướt;điều tra;tìm hiểu;tìm tòi 
dip into one's purse	chi tiêu hoang phí;chi tiêu lãng phí 
dip into one's pocket	chi tiêu hoang phí;chi tiêu lãng phí 
dip one's pen in gall	viết ác độc;viết cay độc
dip deep into	điều tra kỹ;thẩm tra kỹ 
dip into a book	đọc lướt qua 
dip needle	từ kế cổ 
dip the flag	hạ cờ xuống rồi kéo lên 
dip the scale of a balance	làm cán cân nghiêng đi để thăng bằng lại 
direct answer	trả lời thẳng 
direct argument	lý lẽ rạch ròi 
direct contradition	sự mâu thuẫn hoàn toàn
dip deep into the future	nghiên cứu kỹ
direct opposition	sự đối lập hoàn toàn 
direct to	gửi cho;viết cho;nói với;nhắn cho;hướng về;nhằm về;hướng về;tập trung vào;giành hết vào;chỉ đường;chỉ dẫn;hướng dẫn;chỉ đạo;ra lệnh;chỉ thị;sai khiến 
in office	lúc đương đương chức đương quyền;lúc còn có quyền 
out of office	lúc về hưu;lúc nghỉ hưu 
disabuse of	làm cho nhận thấy;làm giác ngộ;làm tỉnh ngộ 
disagree about	không tán thành;bất đồng ý kiến về 
disagree over	không tán thành;bất đồng ý kiến về 
disagree with	không tán thành;không đồng ý;không hợp;không thích hợp;bất hòa;bất đồng;mâu thuẫn
disagreeable	khó chịu 
disappear from sight	biến mất khỏi;không còn trông thấy 
disappear from view	biến mất khỏi;không còn trông thấy 
do a fisappearing act	biết mất đúng lúc cần;chuồn mất khi cần 
disappointed about	không thỏa ý;thất vọng;buồn chán
disappointed at	không thỏa ý;thất vọng;buồn chán
disappointed in	thất vọng về 
disappointed to	thất vọng về
disappointed with	thất vọng về
disapprove of	không thán thành;phản đối;chê trách
disastrous	tai hại cho;thảm khốc cho;bất hạnh cho
disbelieve in	không chấp nhận là có;không tin là có;không tin
disbelieve in ghosts	không tin có ma
discharge	phóng ra;tuôn ra
discharge at	bắn về;phóng về
discharge a torrent of abuse	chửi sang sảng;chửi liên tù tì 
discharge from	chuyển từ 
discharge from	bốc dỡ từ 
discharge oneself into	đổ vào;chảy vào
discontented with	không bằng lòng;không vừa lòng;bất mãn 
discount on stocks	chiết khấu cổ phần 
at a discount	hạ giá;giảm giá;không coi trọng;không được chuộng;không hợp thời  
discourage from	can ngăn;thuyết phục;làm nản lòng;làm mất hết can đảm
discuss with	trao đổi;thảo luận;bàn bạc;hội ý 
under discussion	đang được thảo luận;đang được trao đổi 
discriminate against	phân biệt đố xử;đối xử phân biệt 
discriminate between	phân biệt giữa;nhận rõ sự khác nhau giữa;phân biệt rõ
accidental kill	giết người vô ý;giết người không cố ý 
intentional kill	giết người cố ý 
discriminate in favour of	thiên vị;biệt đãi
discriminate in favour of men	trọng nam 
disengage from	rút khỏi;thoát khỏi 
disdainful of	khinh thị;kỳ thị;miệt thị 
disembark from	cho xuống xe;cho xuống tàu;cho lên bờ;cho rời khỏi 
disembark from	rời khỏi;xuống khỏi 
bring disgracee on oneself	làm nhục bản thân
bring disagrace on one's family	làm nhục cho gia đình 
disagree in	nhục vì;nhục nhã 
in disgrace with	bị ghét bỏ 
disgrace to	sự ô nhục;sự hổ thẹn cho 
disguise oneself as	cải trang là 
disguise with	che giấu;che đậy bằng 
a blessing in disguise	cải trang;trá hình 
in disguise	cải trang;trá hình 
put on a disguise	mặc đồ cải trang 
disguisted at	ghê  tởm;kinh tởm;ghét cay ghét đắng;rất khó chịu về;phẫn nộ
disguisted by	ghê  tởm;kinh tởm;ghét cay ghét đắng;rất khó chịu về;phẫn nộ
disguisted with	ghê  tởm;kinh tởm;ghét cay ghét đắng;rất khó chịu về;phẫn nộ
dish it out	tấn công dữ dội;đánh giáp lá cà
get into a fight with	sinh sự 
dish out	giao;phát;biện bạch;bịa đặt
dish up	dọn ăn;xếp thức ăn lên đĩa;trình bày;giới thiệu
dish of gossip	cuộc nói chuyện tán gẫu;cuộc chém gió 
likes and dislikes	thứ mà thích cái này ghét cái kia 
take a dislike to	bắt đầu ghét;bắt đầu không ưa;thấy ghét 
dislodge from	đuổi ra khỏi;làm bật ra khỏi;làm bật tung ra;đánh bật 
disloyal to	không trung thành với;không chung thủy với;không trung thực 
dismiss from	thải hồi;sa thải;gạt bỏ;xua đuổi khỏi 
dispense with	miễn trừ;tha cho;bỏ qua;không cần đến 
dispplay the colours	kéo cờ lên 
display to	trưng bày;triển lãm;giới thiệu tới 
on display	đang được trưng bày;đang được triển lãm 
displeased at	khó chịu về;không hài lòng về;bực mình về 
displeased with	khó chịu về;không hài lòng về;bực mình về 
displeasing to	làm khó chịu;làm phật lòng;làm phật ý;làm trái ý;làm bực mình;làm tức giận;làm bất mãn 
dispose of	bán;tiêu thụ;chuyển nhượng;nhượng lại;tùy ý sử dụng;quyết định số phận;xử lý;giải quyết;vứt bỏ;khử đi;bỏ đi;thanh toán;trừ khử;đánh bại 
dispose of an opponent	đánh bại đối thủ 
dispose oneself to	sẵn sàng làm 
dispose to	làm cho cảm thấy 
dispossess of	truất quyền sở hữu;tước quyền sở hữu;tước đoạt 
dispute about	bàn cãi về;tranh luận về 
dispute on	bàn cãi về;tranh luận về 
dispute against	tranh cãi với;đấu khẩu với 
dispute with	tranh cãi với;đấu khẩu với 
dispute every inch	tranh chấp từng tấc
dispute the	chống lại;phản kháng lại;chống cự lại 
in dispute	đang được bàn cãi;chưa có lời kết 
in dispute with	đang tranh chấp với;bất đồng
overtime times	phụ cấp làm thêm 
without dispute	dĩ nhiên;nhất định;chắc chắn 
disqualified for	lhoong đủ khả năng;không đủ tư cách 
disqualified from	bị loại ra khỏi 
dissatisfied at	không hài lòng;không thỏa mãn;bất mãn 
dissent from	bất đồng về;bất đồng ý kiến 
dissociate from	phân ra;tách ra
dissociate oneself from	tự tách ra khỏi;không đi theo;không tán thành 
dissolve at	tiêu tan 
dissolve away	làm mất đi;làm tiêu tan 
dissolve in	tan ra;tan ra;hòa tan
dissolved in tears	đầm đìa nước mắt 
dissuade an action	can ngăn một hành động
dissuade from	khuyên can;can ngăn
distance from	làm xa cách;không thân thiện với;mất cảm tình 
at a distanced	ở cách xa 
at a distance of	khoảng thời gian 
go the distance	tiếp tục chơi cho đến hết trận đấu 
in the distance	ở đàng xa;ở phía xa xa 
from the distance	từ đàng xa 
no distance from here	không xa đây mấy
keep one's distance from	giữ thái độ cách biệt;tránh xa;không đến gần 
keep at a distance	không cho ai đến gần;giữ thái độ cách xa đối với;xa lánh 
distant from	cách xa 
distant for	sự không ưa;sự căm ghét
distasteful to	đáng ghét;khó chịu;ghê tởm;căm ghét 
distinct from	khác biệt với;riêng biệt với 
distinguish between	phân biệt giữa 
distinguish from	phân biệt 
distinguish among	nhận ra;nhận ra;thấy được 
distinguish oneself	tự làm nổi bật;tự gây chú ý;làm cho người ta chú ý đến mình 
distinguished guest	thượng khách;quý khách
distinguished fighter	chiến sĩ lỗi lạc 
distract from	làm sao lãng;sao nhãng 
distracted with	không tập trung;bị sao lãng;quẫn trí;điên cuồng;phát cuồng 
distracted byhông tập trung;bị sao lãng;quẫn trí;điên cuồng;phát cuồng 
to traction	một cách điên cuồng;một cách nồng cháy;làm điên lên 
distribute among	phân phối;phân phát 
distribute to	phân phối;phân phát 
passers-by	người qua đường;người đi lại trên đường;người đi đường 
dive in	ăn uống thoải mái;lặn 
dive one's hands into	thọc tay vào;thò tay vào 
dive into a new project	mải mê đi sâu vào một dự án mới 
dive from	lao mình từ 
divert a shipment	thay đổi hướng vận chuyển 
divert from	làm trệch hướng;làm trệch đi;hướng sự chú ý sang;làm tiêu khiển;làm vui;làm quên đi;làm lãng quên 
divest of	cởi ra;lột bỏ;cởi bỏ;tháo;cởi;tước bỏ;tước đoạt;trừ bỏ;gạt bỏ 
divest oneself of	gạt bỏ 
divide between	chia cho
divide among	chia cho
divided by	chia cho
divided in opinion	không thống nhất về ý kiến 
divide into	chia thành 
do away with	tống khứ;thủ tiêu;huy bỏ;bãi bỏ 
do for	làm việc nhà cho;giúp việc nhà cho;đổ nát;tiêu tan;phá hủy;phá sản;chết;hết 
do good	làm việc thiện;làm phúc;làm việc tử tế 
do in	bắt; bắt bớ;tóm cổ;tông vào tù;bỏ tù;giam cầm;rình mò;theo dõi;trừ khử;thanh trừng;mệt lử;kiệt sức
do into	chuyển thành;chuyển sang;chuyển thể;dựng thành;sáng tác thành
do justice to	biết thưởng thức;biết đánh giá đúng;biết nhìn nhận đúng 
do off	bỏ ra;cởi ra;tháo ra 
do on	mặc vào;khoác vào
do oneself justice	làm xứng với tài năng của mình;làm hết khả năng của mình;dốc hết tài năng 
do one's bit	làm tròn bổn phận;góp công góp sức vào;góp công sức vào
do one's hair	vấn tóc;làm đầu
do one's level best	làm hết sức;nỗ lực hết sức;cố gắng hết sức 
do one's best	làm hết sức;nỗ lực hết sức;cố gắng hết sức 
do the best in one's power	làm hết sức;nỗ lực hết sức;cố gắng hết sức 
do the best one can	làm hết sức;nỗ lực hết sức;cố gắng hết sức 
